mensagem,odio
USER Adorei comercial Jesus achar faltar beijinho gay estilo Jesus USER Rsrsrs,OFF
cara babaca USER conhecer Monark merda falar merda USER to decepcionar pra caralho caber eu,OFF
ligar pra judeu kkkk,OFF
vc porco folgar relaxar ir conseguir viver realmente gente escroto ir conseguir conviver Jojo,OFF
USER Toma cu vitamina prima,OFF
ser sniper ir louco,OFF
USER saco USER USER USER,OFF
muito gente julgar falar besteira USER errar trair ficar mulher casar homem coloquar de ele morar rua mulher tempão transar surgir oportunidade amigo praticamente ir recusar Ser sincero coloquar de ele julgar galera estar errado mulher polêmica errado tá oportunidade mudar vida bastar querer crescer olho essencial acompanhamento psicológico passar ficar mulher alheio pq matar,OFF
USER Trasmonte olhar besta quadrar,OFF
USER estragar podcast falar muito mer fundamento conhecimento causa detalhe acontecer pq conseguir defender absurdo absurdo absurdo ser absurdo tamanho parar seguir acompanhar canal decisão tardio enfim acertar Flow esperar aprenda erro tornar humano bom voltar Flow,OFF
USER USER exatamente abusar pra caralh família tradicional brasileiro USER,OFF
arrumar trabalho limpar bosta cavalo rua USER,OFF
desgraçar URL,OFF
país extremamente homofobico necessário ensinar respeito amor,NOT
USER demoníaco chato mentiroso baba pegar dinheiro USER hora hora coronavius bolsonario filho USER,OFF
USER el ternero MAMANDO,OFF
AAAAAA ADRIAN SUAR HIJO RE PUTA ODIO URL,OFF
USER To realizar igual Gordola tar jogo,OFF
USER Matadora,OFF
aventura mulher louco poder ocorrer mau,OFF
USER USER USER Zelensky n nazista n mandar soldado ucraniano atacar assassino russo checheno terrorista perguntar novamente pq vc assassino putin hamas terrorista,OFF
look lolla simplesmente sequência imbecilidade atroz grosseria vulgaridade momento imperdoável,OFF
falar de ela parecer maníaco sexual descrever corpo roupa juntar mulher problema psiquiátrico mental dar nissoAcredito certo maneira induzir mulher querer ninguém história vitimo confiar deixar filha esposo cara,OFF
USER mesmo USER USER junto maluco forgar porra,OFF
USER Dale Seas mentiroso gordo,OFF
partido chamado P T P Sol sao doenca pra nacao enfermo,OFF
USER Velho fdp,OFF
USER Lula PT estar morto enterrar Todavia Bolsonaro ressuscitar Babá quadrilha ladrão ir lutar pa,OFF
USER fofo USER ahahah porra defender cara nao conhecer bonitinho fofo USER sonhar nao conseguir nng feio inteligente entao dedinho sonhar alto ahaha tao futil crepusculo,OFF
caralho dormi 15 hora kkkkkkkkkk,OFF
folgado tomar ser eliminar,OFF
propaganda curtíssimo mensagem profundo Boticário USER,NOT
abaixar bola globalisitas USER precisar ficar mandar mundo tomar cu,OFF
falar ver dar merda correr pra seguro Kú,OFF
USER flow Monark,OFF
temp matar vergonha alheio,OFF
USER claro querer simples abdique liberdade mulher liberdade comportamental sexual econômico deixar homem comander vida vendam mercadoria doença matar trabalhar trabalhar tornar engrenagem indústria massacrante desumano USER século passado,OFF
apesar rolê ser merda pra eu ver gente q odiar fundamental hoje saber letra música cor ehr emocionante,OFF
Ta rabo ns cerca,OFF
USER USER USER Racista krlh smt lixo branco skatista homem,OFF
USER USER USER Estúpida colocar babaca vc mundo,OFF
USER Bahiano nao cerebro bolsonaro reeleger,OFF
parar falar merda mano,OFF
aprender geração pessoa nao debater coisa ser desejar ser infelizmente criar pessoa burro fraco pq debatir cancelar pessoa diferente de elas ir ser geração burro ignorante facilmente manipular governo,OFF
adiantar chorar USER avisar Defecar boca pra público severo consequência,OFF
corpo gordinho lir adorar mulhres gordinhasvc USER frenteforabraço,OFF
afronta sociedade infeliz empurrar filosofia inferno JAMAIS conseguir ver pessoa normal saibam psicólogo médico tirar pôr USER chamar DNA bosta escória humanidade USER acima família,OFF
USER USER USER igual opinião aliás discutir petista Militonto divertido burrice retardo mental cansar Continua acreditar quadrilha Bandido pra,OFF
hetero reclamar mesmo criticar casal homoafetivo adotar criança filho sangue provavelmente visitar ajudar orfanato mesmo sofrer preconceito reverso morrer corpo queimar ser hetero Ensinam filho pegar ser macho violento babaca filha sobrar ser recatar lar respeito ser humano ensinar criança respeito genérico Hipocrisia hipocrisia hipocrisia,OFF
Começaram dizer mulher abusar USER jornalismo,OFF
